Problem,Method,Seed,Period,Error,Success Rate
MDSLEN,PushGP,1004,Train,0.0,True
MDSLEN,PushGP,1004,Test,3.0,False
MDSLEN,PushGP,1005,Train,0.0,True
MDSLEN,PushGP,1005,Test,0.0,True
MDSLEN,PushGP,1006,Train,0.0,True
MDSLEN,PushGP,1006,Test,0.0,True
MDSLEN,PushGP,1007,Train,6.0,False
MDSLEN,PushGP,1007,Test,237.0,False
MDSLEN,PushGP,1008,Train,36.0,False
MDSLEN,PushGP,1008,Test,408.0,False
MDSLEN,PushGP,1009,Train,0.0,True
MDSLEN,PushGP,1009,Test,0.0,True
MDSLEN,PushGP,1010,Train,53.0,False
MDSLEN,PushGP,1010,Test,706.0,False
MDSLEN,PushGP,1011,Train,0.0,True
MDSLEN,PushGP,1011,Test,18.0,False
MDSLEN,PushGP,1012,Train,0.0,True
MDSLEN,PushGP,1012,Test,36.0,False
MDSLEN,PushGP,1013,Train,3.0,False
MDSLEN,PushGP,1013,Test,610.0,False
MDSLEN,PushGP,1014,Train,6.0,False
MDSLEN,PushGP,1014,Test,279.0,False
MDSLEN,PushGP,1015,Train,6.0,False
MDSLEN,PushGP,1015,Test,265.0,False
MDSLEN,PushGP,1016,Train,9.0,False
MDSLEN,PushGP,1016,Test,327.0,False
MDSLEN,PushGP,1017,Train,0.0,True
MDSLEN,PushGP,1017,Test,36.0,False
MDSLEN,PushGP,1018,Train,0.0,True
MDSLEN,PushGP,1018,Test,14.0,False
MDSLEN,PushGP,1019,Train,49.0,False
MDSLEN,PushGP,1019,Test,727.0,False
MDSLEN,PushGP,1020,Train,0.0,True
MDSLEN,PushGP,1020,Test,0.0,True
MDSLEN,PushGP,1021,Train,8.0,False
MDSLEN,PushGP,1021,Test,290.0,False
MDSLEN,PushGP,1022,Train,42.0,False
MDSLEN,PushGP,1022,Test,444.0,False
MDSLEN,PushGP,1023,Train,0.0,True
MDSLEN,PushGP,1023,Test,3.0,False
MDSLEN,PushGP,1024,Train,19.0,False
MDSLEN,PushGP,1024,Test,382.0,False
MDSLEN,PushGP,1025,Train,0.0,True
MDSLEN,PushGP,1025,Test,27.0,False
MDSLEN,PushGP+EP+RRM,1001,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1001,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1002,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1002,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1003,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1003,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1004,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1004,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1005,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1005,Test,39.0,False
MDSLEN,PushGP+EP+RRM,1006,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1006,Test,12.0,False
MDSLEN,PushGP+EP+RRM,1007,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1007,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1008,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1008,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1009,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1009,Test,197.0,False
MDSLEN,PushGP+EP+RRM,1010,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1010,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1011,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1011,Test,166.0,False
MDSLEN,PushGP+EP+RRM,1012,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1012,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1013,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1013,Test,47.0,False
MDSLEN,PushGP+EP+RRM,1014,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1014,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1015,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1015,Test,13.0,False
MDSLEN,PushGP+EP+RRM,1016,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1016,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1017,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1017,Test,1.0,False
MDSLEN,PushGP+EP+RRM,1018,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1018,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1019,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1019,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1020,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1020,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1021,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1021,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1022,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1022,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1023,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1023,Test,0.0,True
MDSLEN,PushGP+EP+RRM,1024,Train,1.0,False
MDSLEN,PushGP+EP+RRM,1024,Test,283.0,False
MDSLEN,PushGP+EP+RRM,1025,Train,0.0,True
MDSLEN,PushGP+EP+RRM,1025,Test,0.0,True
SLMD,PushGP+EP+ARM,1001,Train,0.0,True
SLMD,PushGP+EP+ARM,1001,Test,165.0,False
SLMD,PushGP+EP+ARM,1002,Train,35.0,False
SLMD,PushGP+EP+ARM,1002,Test,680.0,False
SLMD,PushGP+EP+ARM,1003,Train,25.0,False
SLMD,PushGP+EP+ARM,1003,Test,805.0,False
SLMD,PushGP+EP+ARM,1004,Train,0.0,True
SLMD,PushGP+EP+ARM,1004,Test,0.0,True
SLMD,PushGP+EP+ARM,1005,Train,15.0,False
SLMD,PushGP+EP+ARM,1005,Test,590.0,False
SLMD,PushGP+EP+ARM,1006,Train,0.0,True
SLMD,PushGP+EP+ARM,1006,Test,10.0,False
SLMD,PushGP+EP+ARM,1007,Train,20.0,False
SLMD,PushGP+EP+ARM,1007,Test,435.0,False
SLMD,PushGP+EP+ARM,1008,Train,15.0,False
SLMD,PushGP+EP+ARM,1008,Test,625.0,False
SLMD,PushGP+EP+ARM,1009,Train,25.0,False
SLMD,PushGP+EP+ARM,1009,Test,535.0,False
SLMD,PushGP+EP+ARM,1010,Train,0.0,True
SLMD,PushGP+EP+ARM,1010,Test,0.0,True
SLMD,PushGP+EP+ARM,1011,Train,40.0,False
SLMD,PushGP+EP+ARM,1011,Test,1005.0,False
SLMD,PushGP+EP+ARM,1012,Train,10.0,False
SLMD,PushGP+EP+ARM,1012,Test,275.0,False
SLMD,PushGP+EP+ARM,1013,Train,25.0,False
SLMD,PushGP+EP+ARM,1013,Test,815.0,False
SLMD,PushGP+EP+ARM,1014,Train,0.0,True
SLMD,PushGP+EP+ARM,1014,Test,0.0,True
SLMD,PushGP+EP+ARM,1015,Train,15.0,False
SLMD,PushGP+EP+ARM,1015,Test,331.0,False
SLMD,PushGP+EP+ARM,1016,Train,15.0,False
SLMD,PushGP+EP+ARM,1016,Test,355.0,False
SLMD,PushGP+EP+ARM,1017,Train,5.0,False
SLMD,PushGP+EP+ARM,1017,Test,1042.0,False
SLMD,PushGP+EP+ARM,1018,Train,41.0,False
SLMD,PushGP+EP+ARM,1018,Test,782.0,False
SLMD,PushGP+EP+ARM,1019,Train,0.0,True
SLMD,PushGP+EP+ARM,1019,Test,0.0,True
SLMD,PushGP+EP+ARM,1020,Train,40.0,False
SLMD,PushGP+EP+ARM,1020,Test,1055.0,False
SLMD,PushGP+EP+ARM,1021,Train,0.0,True
SLMD,PushGP+EP+ARM,1021,Test,535.0,False
SLMD,PushGP+EP+ARM,1022,Train,0.0,True
SLMD,PushGP+EP+ARM,1022,Test,0.0,True
SLMD,PushGP+EP+ARM,1023,Train,10.0,False
SLMD,PushGP+EP+ARM,1023,Test,970.0,False
SLMD,PushGP+EP+ARM,1024,Train,20.0,False
SLMD,PushGP+EP+ARM,1024,Test,900.0,False
SLMD,PushGP+EP+ARM,1025,Train,0.0,True
SLMD,PushGP+EP+ARM,1025,Test,0.0,True
SLMD,PushGP+HP+ARM,1001,Train,25.0,False
SLMD,PushGP+HP+ARM,1001,Test,615.0,False
SLMD,PushGP+HP+ARM,1002,Train,0.0,True
SLMD,PushGP+HP+ARM,1002,Test,0.0,True
SLMD,PushGP+HP+ARM,1003,Train,0.0,True
SLMD,PushGP+HP+ARM,1003,Test,0.0,True
SLMD,PushGP+HP+ARM,1004,Train,0.0,True
SLMD,PushGP+HP+ARM,1004,Test,0.0,True
SLMD,PushGP+HP+ARM,1005,Train,5.0,False
SLMD,PushGP+HP+ARM,1005,Test,580.0,False
SLMD,PushGP+HP+ARM,1006,Train,40.0,False
SLMD,PushGP+HP+ARM,1006,Test,620.0,False
SLMD,PushGP+HP+ARM,1007,Train,25.0,False
SLMD,PushGP+HP+ARM,1007,Test,975.0,False
SLMD,PushGP+HP+ARM,1008,Train,0.0,True
SLMD,PushGP+HP+ARM,1008,Test,0.0,True
SLMD,PushGP+HP+ARM,1009,Train,0.0,True
SLMD,PushGP+HP+ARM,1009,Test,155.0,False
SLMD,PushGP+HP+ARM,1010,Train,0.0,True
SLMD,PushGP+HP+ARM,1010,Test,390.0,False
SLMD,PushGP+HP+ARM,1011,Train,0.0,True
SLMD,PushGP+HP+ARM,1011,Test,140.0,False
